"id_invoice","id_distributor","id_cabang","cabang_sales","tanggal","id_customer","nama","id_barang","nama_barang","kemasan","jumlah_barang","harga","kode_lini","lini","brand_id","id_group","group"
IN6150,TD,CAB05,Kuningan,"2022-05-20",CUST55651,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,5,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6298,TA,CAB06,Jakarta,"2022-05-21",CUST55652,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,4,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6295,EPM,CAB07,Bandung,"2022-05-22",CUST55653,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,8,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6022,TD,CAB08,Tangerang,"2022-05-23",CUST55654,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,9,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6090,TA,CAB09,Bekasi,"2022-05-24",CUST55655,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,21,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN5996,EPM,CAB10,Padang,"2022-05-25",CUST55656,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,22,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6111,TD,CAB01,Aceh,"2022-05-26",CUST55657,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,12,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6194,TA,CAB01,Kuningan,"2022-04-18",CUST55658,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,25,5780.7,"207",VNS,BRND009,Z32,Apotek
IN5987,EPM,CAB02,Jakarta,"2022-04-19",CUST55659,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,14,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6313,TD,CAB03,Bandung,"2022-04-20",CUST55660,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,24,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6138,TD,CAB01,Tangerang,"2022-04-18",CUST55661,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,10,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6316,TA,CAB01,Bekasi,"2022-04-19",CUST55662,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,120,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6019,EPM,CAB02,Padang,"2022-04-20",CUST55663,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,12,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6283,TD,CAB03,Lampung,"2022-05-19",CUST55664,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,10,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6169,TA,CAB04,Aceh,"2022-05-20",CUST55665,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,67,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6121,EPM,CAB05,Kuningan,"2022-05-21",CUST55666,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,98,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6117,TD,CAB06,Jakarta,"2022-05-22",CUST55667,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,5,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6201,TA,CAB07,Bandung,"2022-05-23",CUST55668,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,4,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6179,EPM,CAB08,Tangerang,"2022-05-24",CUST55669,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,8,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN5978,TD,CAB09,Bekasi,"2022-05-25",CUST55670,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,9,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN5993,TD,CAB10,Padang,"2022-05-26",CUST55671,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,1,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6160,TA,CAB01,Aceh,"2022-05-27",CUST55672,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,5,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6282,EPM,CAB01,Kuningan,"2022-05-28",CUST55673,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,9,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6093,TD,CAB02,Jakarta,"2022-05-29",CUST55674,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,13,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6166,TA,CAB03,Bandung,"2022-05-30",CUST55675,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,1,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6010,EPM,CAB01,Tangerang,"2022-05-31",CUST55676,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,5,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN6100,TD,CAB01,Bekasi,"2022-01-06",CUST55677,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,9,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6222,TD,CAB02,Padang,"2022-02-06",CUST55678,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,1,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6032,TA,CAB03,Lampung,"2022-03-06",CUST55679,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,23,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6198,EPM,CAB04,Aceh,"2022-04-06",CUST55680,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,4,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6212,TD,CAB05,Kuningan,"2022-05-06",CUST55681,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,2,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6288,TA,CAB06,Jakarta,"2022-06-06",CUST55682,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,17,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6059,EPM,CAB07,Bandung,"2022-07-06",CUST55683,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,11,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6236,TD,CAB08,Tangerang,"2022-08-06",CUST55684,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,12,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6296,TA,CAB09,Bekasi,"2022-09-06",CUST55685,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,12,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6324,EPM,CAB10,Padang,"2022-10-06",CUST55686,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,25,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6091,TD,CAB01,Aceh,"2022-11-06",CUST55687,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,14,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6033,TD,CAB01,Kuningan,"2022-12-06",CUST55688,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,34,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6159,TA,CAB02,Jakarta,"2022-06-13",CUST55689,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,67,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6264,EPM,CAB03,Bandung,"2022-06-14",CUST55690,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,15,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6046,TD,CAB01,Tangerang,"2022-06-15",CUST55691,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,12,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6268,TA,CAB01,Bekasi,"2022-06-16",CUST55692,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,25,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6310,EPM,CAB02,Padang,"2022-04-30",CUST55693,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,14,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6044,TD,CAB03,Lampung,"2022-01-05",CUST55694,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,18,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6178,TA,CAB04,Aceh,"2022-02-05",CUST55695,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,18,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6270,EPM,CAB05,Kuningan,"2022-03-05",CUST55696,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,19,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6123,TD,CAB06,Jakarta,"2022-06-16",CUST55697,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,12,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6265,TD,CAB07,Bandung,"2022-04-30",CUST55698,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,25,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6158,TA,CAB08,Tangerang,"2022-01-05",CUST55699,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,14,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6105,EPM,CAB09,Bekasi,"2022-02-05",CUST55700,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,21,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6213,TD,CAB10,Padang,"2022-03-05",CUST55701,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,22,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6109,TA,CAB01,Aceh,"2022-06-16",CUST55702,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,12,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6249,EPM,CAB01,Kuningan,"2022-04-30",CUST55703,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,25,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6067,TD,CAB02,Jakarta,"2022-01-05",CUST55704,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,14,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6143,TD,CAB03,Bandung,"2022-02-05",CUST55705,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,24,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN5990,TA,CAB01,Tangerang,"2022-03-05",CUST55706,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,10,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN5992,EPM,CAB01,Bekasi,"2022-06-16",CUST55707,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,23,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6132,TD,CAB02,Padang,"2022-04-30",CUST55708,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,12,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6030,TA,CAB03,Lampung,"2022-01-05",CUST55709,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,10,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6094,EPM,CAB04,Aceh,"2022-02-05",CUST55710,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,67,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6294,TD,CAB05,Kuningan,"2022-03-05",CUST55711,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,98,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6012,TA,CAB06,Jakarta,"2022-06-16",CUST55712,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,5,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6106,EPM,CAB07,Bandung,"2022-04-30",CUST55713,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,4,8700.7,"201",VNS,BRND004,Z32,Apotek
IN5984,TD,CAB08,Tangerang,"2022-01-05",CUST55714,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,8,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6007,TD,CAB09,Bekasi,"2022-02-05",CUST55715,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,9,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6115,TA,CAB10,Padang,"2022-03-05",CUST55716,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,10,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6000,EPM,CAB01,Aceh,"2022-06-16",CUST55717,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,7,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6097,TD,CAB01,Kuningan,"2022-04-30",CUST55718,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,100,5780.7,"207",VNS,BRND009,Z32,Apotek
IN5989,TA,CAB02,Jakarta,"2022-01-05",CUST55719,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,67,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6151,EPM,CAB03,Bandung,"2022-02-05",CUST55720,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,78,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6037,TD,CAB01,Tangerang,"2022-03-05",CUST55721,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,45,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6165,TA,CAB01,Bekasi,"2022-06-16",CUST55722,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,34,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6101,EPM,CAB02,Padang,"2022-04-30",CUST55723,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,20,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6142,TD,CAB03,Lampung,"2022-01-05",CUST55724,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,45,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6312,TD,CAB04,Aceh,"2022-02-05",CUST55725,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,34,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6112,TA,CAB05,Kuningan,"2022-03-05",CUST55726,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,34,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6204,EPM,CAB06,Jakarta,"2022-06-16",CUST55727,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,34,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6304,TD,CAB07,Bandung,"2022-04-30",CUST55728,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,44,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6004,TA,CAB08,Tangerang,"2022-01-05",CUST55729,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,5,6940.3,"208",SLCYL,BRND010,Z31,Klinik
